# method=linear key=2022-10-27 matches=67
ticketNumber,nominalValue,lotteryDate,winAmount
00000539,150,2022-10-27,0
00003248,150,2022-10-27,0
00003818,200,2022-10-27,0
00005193,50,2022-10-27,0
00005235,150,2022-10-27,0
00009813,200,2022-10-27,1000
00014305,500,2022-10-27,0
00017980,200,2022-10-27,2000
00018258,150,2022-10-27,0
00020748,100,2022-10-27,0
00022620,100,2022-10-27,0
00024631,100,2022-10-27,0
00026077,200,2022-10-27,0
00027438,100,2022-10-27,0
00029118,50,2022-10-27,0
00029563,100,2022-10-27,0
00031512,100,2022-10-27,0
00031571,500,2022-10-27,0
00031621,100,2022-10-27,0
00032263,500,2022-10-27,0
00032527,150,2022-10-27,0
00033000,200,2022-10-27,0
00033336,50,2022-10-27,0
00034084,150,2022-10-27,15000
00034212,150,2022-10-27,0
00038120,50,2022-10-27,0
00039436,100,2022-10-27,0
00041039,50,2022-10-27,250
00044360,150,2022-10-27,0
00044536,150,2022-10-27,0
00045479,50,2022-10-27,0
00047367,150,2022-10-27,0
00049127,50,2022-10-27,0
00050405,200,2022-10-27,0
00051010,200,2022-10-27,0
00052804,100,2022-10-27,0
00054696,150,2022-10-27,0
00056420,150,2022-10-27,0
00056645,500,2022-10-27,0
00059688,500,2022-10-27,0
00060273,50,2022-10-27,0
00061289,100,2022-10-27,0
00062257,50,2022-10-27,0
00062394,150,2022-10-27,0
00063131,500,2022-10-27,0
00064198,500,2022-10-27,0
00064595,50,2022-10-27,0
00064758,150,2022-10-27,0
00066121,150,2022-10-27,150
00066574,50,2022-10-27,0
00066889,150,2022-10-27,150
00067600,500,2022-10-27,0
00068531,200,2022-10-27,0
00068934,100,2022-10-27,0
00069644,100,2022-10-27,0
00070725,500,2022-10-27,0
00070904,200,2022-10-27,0
00075378,500,2022-10-27,0
00076206,50,2022-10-27,0
00076703,200,2022-10-27,100000
00080469,50,2022-10-27,250
00084337,200,2022-10-27,0
00087747,100,2022-10-27,1000
00088652,100,2022-10-27,0
00090277,50,2022-10-27,0
00098968,100,2022-10-27,0
00099880,150,2022-10-27,0
